Cell Line,CCLE Mut,CCLE CNV AMP,CCLE CNV DEL,Network Mut,Network CNV AMP,Network CNV DEL,Ratio of Mut,Ratio of CNV AMP,Ratio of CNV DEL
SW1417_LARGE_INTESTINE,18,884,668,5,19,3,27.77777777777778,2.1493212669683257,0.4491017964071856
SW948_LARGE_INTESTINE,41,664,185,5,20,1,12.195121951219512,3.0120481927710845,0.5405405405405406
HT29_LARGE_INTESTINE,43,448,462,6,9,1,13.953488372093023,2.0089285714285716,0.21645021645021645
KM12_LARGE_INTESTINE,241,89,1171,16,1,21,6.639004149377594,1.1235955056179776,1.7933390264730997
T84_LARGE_INTESTINE,36,242,436,7,1,7,19.444444444444446,0.4132231404958678,1.6055045871559634
CL14_LARGE_INTESTINE,28,299,2450,3,1,38,10.714285714285714,0.33444816053511706,1.5510204081632653
CL40_LARGE_INTESTINE,35,28,113,5,0,0,14.285714285714285,0.0,0.0
HS698T_LARGE_INTESTINE,26,52,138,3,0,1,11.538461538461538,0.0,0.7246376811594203
COLO678_LARGE_INTESTINE,1,2082,1925,1,36,26,100.0,1.729106628242075,1.3506493506493507
COLO320_LARGE_INTESTINE,17,1318,298,5,25,2,29.411764705882355,1.896813353566009,0.6711409395973155
CL11_LARGE_INTESTINE,26,1214,2566,6,15,39,23.076923076923077,1.2355848434925865,1.5198752922837102
CL34_LARGE_INTESTINE,126,34,301,14,0,1,11.11111111111111,0.0,0.33222591362126247
HRT18_LARGE_INTESTINE,395,28,135,26,0,0,6.582278481012659,0.0,0.0
,,,,,,,17.239870619128837,1.5755300639334495,1.2527053015468286
